Date (GMT+1),Wind offshore 50Hertz,Wind offshore TenneT,Wind onshore 50Hertz,Wind onshore Amprion,Wind onshore TenneT,Wind onshore TransnetBW,Solar 50Hertz,Solar Amprion,Solar TenneT,Solar TransnetBW
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2024-01-01T00:00+01:00,801.3,5037.6,8085.7,8058.1,12444.7,957,0,0,2.5,0
2024-01-01T00:15+01:00,729.4,5018.5,7967.6,8121.2,12169.7,946,0,0,2.5,0
2024-01-01T00:30+01:00,612.1,5006,8031.2,8104.3,12148.8,928,0,0,1.7,0
2024-01-01T00:45+01:00,520.7,4991.3,8208.2,8353.6,12126,932,0,0,1.8,0
2024-01-01T01:00+01:00,501.1,4962.8,8150.7,8457.5,12119.8,953,0,0,2.5,0
2024-01-01T01:15+01:00,428.5,4914.3,8302,8446.1,11856.2,936,0,0,1.8,0
2024-01-01T01:30+01:00,349.4,4932.8,8080.7,8424.8,11829.2,953,0,0,1.8,0
2024-01-01T01:45+01:00,331.4,4962.5,8187.3,8584.4,11788.1,985,0,0,1.8,0
2024-01-01T02:00+01:00,386.5,4973.6,8072.1,8599.3,11914.9,981,0,0,2.5,0
2024-01-01T02:15+01:00,383,4961.3,8124.7,8476,11869,1000,0,0,1.8,0
2024-01-01T02:30+01:00,344.4,4841.1,8362.9,8328.6,11772.1,1028,0,0,1.8,0
2024-01-01T02:45+01:00,319,4545.3,8413.4,8281.9,11732.4,1022,0,0,1.7,0
2024-01-01T03:00+01:00,309.2,4297.3,8301.4,8420.4,11624.1,982,0,0,2.5,0
2024-01-01T03:15+01:00,289.7,4292.8,8137.6,8366.8,11591.8,939,0,0,1.8,0
2024-01-01T03:30+01:00,301.3,4461.7,8027.1,8420.9,11469,931,0,0,2.5,0
2024-01-01T03:45+01:00,328.9,4415.5,7988.6,8500.1,11504,938,0,0,1.7,0
2024-01-01T04:00+01:00,338.9,4240.1,8094.4,8491,11359.5,966,0,0,1.7,0
2024-01-01T04:15+01:00,317.1,4125.9,8217.8,8820.5,11388.2,965,0,0,1.8,0
2024-01-01T04:30+01:00,332.1,4053.1,8143.5,8827.6,11348,943,0,0,1.7,0
2024-01-01T04:45+01:00,324.9,4025.3,7933.1,8654.1,11394.2,974,0,0,1.7,0
2024-01-01T05:00+01:00,320.7,4240.5,7773,8489.7,11665.7,1010,0,0,1.7,0
2024-01-01T05:15+01:00,297.1,4432,7645.1,8427.3,11887.7,1032,0,0,1.7,0
2024-01-01T05:30+01:00,269.9,4394.7,7463.3,8474.1,12178.9,1050,0,0,2.4,0
2024-01-01T05:45+01:00,286.1,4257.8,7411.6,8445.3,12160.6,1071,0,0,2.5,0
2024-01-01T06:00+01:00,276.5,4214.8,7531,8558.9,12055.5,1067,0,0,1.6,0
2024-01-01T06:15+01:00,301,4106.1,7326,8607.6,12079.8,1067,0,0,1.8,0
2024-01-01T06:30+01:00,266,3932.5,7126.5,8387,12152.5,1076,0,0,2.1,0
2024-01-01T06:45+01:00,261,3784.3,7125.3,8491.2,12172.9,1092,0,0,2.6,0
2024-01-01T07:00+01:00,277,3681.9,7174.5,8621.6,12197,1148,0,0,1.9,0
2024-01-01T07:15+01:00,264.3,3683.3,7180,8633.9,12404.5,1207,0,0,2.7,0
2024-01-01T07:30+01:00,245.2,3618.7,7265.2,8877.5,12566.9,1189,0,0,2.9,0
2024-01-01T07:45+01:00,207.8,3609.9,7401,8835.9,12692.1,1158,0,0,3.3,0
2024-01-01T08:00+01:00,213.7,3712.8,7700.8,8942.4,12676.6,1136,1.7,0.9,6.1,0
2024-01-01T08:15+01:00,166.9,3688.2,7731,9085.1,12562.3,1136,13.4,29.6,58.4,0.9
2024-01-01T08:30+01:00,138.9,3707.2,7847.3,9053.7,12536.9,1145,77.1,124,217.8,137.6
2024-01-01T08:45+01:00,134.5,3663.3,7897.9,8900.2,12629.2,1138,222.3,265.6,483.9,264.2
2024-01-01T09:00+01:00,124,3284.7,7877.5,9023.6,12682.7,1119,437.1,404.2,820.4,420.9
2024-01-01T09:15+01:00,115.3,3017.1,7940.5,8990.4,12641.9,1107,658.1,550.8,1172.2,611.9
2024-01-01T09:30+01:00,128.4,2982.4,7942.5,8925.1,12664.5,1080,830.8,688.5,1567.1,734.2
2024-01-01T09:45+01:00,125,3149.2,7914.4,8883.1,12653.2,1085,994.3,843.1,1977.4,856.5
2024-01-01T10:00+01:00,132.6,3031.6,7817.3,8687.9,12703.1,1110,1160.8,1013.5,2430.9,985.4
2024-01-01T10:15+01:00,126.6,3274.6,7825.7,8692.9,12658.9,1117,1301.4,1148.8,2832.4,1166.2
2024-01-01T10:30+01:00,132.6,3535,7842.7,8712.3,12725.8,1144,1445.6,1233.5,3169.9,1312.4
2024-01-01T10:45+01:00,132.2,3515.1,7734.2,8706.5,12555.4,1146,1561.9,1287.1,3337.7,1463.5
2024-01-01T11:00+01:00,121.8,3369.2,7467.3,8689,12787.3,1163,1666.3,1336.2,3579.9,1546.9
2024-01-01T11:15+01:00,111,3388.2,7583,8459.7,12827.1,1182,1745.9,1369.5,3671.4,1583
2024-01-01T11:30+01:00,123.5,3515,7624.3,8395.6,12985.9,1182,1812.5,1408.2,3678.2,1539
2024-01-01T11:45+01:00,114,3550.9,7624.6,8552.8,13336.7,1192,1758.2,1451.6,3580.1,1507
2024-01-01T12:00+01:00,96.8,3261,7626.4,8484.5,13238,1238,1745.2,1532,3432.6,1472
2024-01-01T12:15+01:00,103,3109.9,7410.3,8419,13400.8,1248,1771,1610.3,3245.4,1460.5
2024-01-01T12:30+01:00,121.2,3195.7,7482.3,8242.3,13507.4,1269,1711.5,1682,3026.2,1435.5
2024-01-01T12:45+01:00,129.2,3167,7699.3,8072.3,13259.3,1264,1586.6,1717.7,2799,1432.8
2024-01-01T13:00+01:00,118.9,3210.9,7657.2,7794.6,13223,1267,1488.8,1741.2,2645.3,1361.4
2024-01-01T13:15+01:00,94.7,3201.5,7398.6,7602.4,13321.3,1224,1394.6,1725.1,2586,1234.3
2024-01-01T13:30+01:00,84.4,3200.3,7379.8,7589.1,13316.4,1189,1308.7,1632.2,2430.8,1143.4
2024-01-01T13:45+01:00,71.8,3130.8,7407.1,7601.9,13371.4,1194,1209.7,1543.1,2210.1,1059.2
2024-01-01T14:00+01:00,69.8,3085.6,7258,7362.6,12944.5,1176,1088.5,1425.3,1993.5,1010.7
2024-01-01T14:15+01:00,66.1,3095.6,7204.9,7546,12828.9,1200,958.8,1310.8,1689.8,933.1
2024-01-01T14:30+01:00,86.8,3265.7,7144.7,7215.9,12752.5,1150,799.3,1154.2,1389.4,825.8
2024-01-01T14:45+01:00,104.6,3443.5,7182.2,7302.7,12509.5,1121,607.3,972.8,1132,684.6
2024-01-01T15:00+01:00,101.4,3487,7147.1,7098.9,12451.1,1055,426.5,765,859.8,530.7
2024-01-01T15:15+01:00,119.7,3732.5,7231.6,6963,12107.6,1057,259.8,572.7,594.6,405.5
2024-01-01T15:30+01:00,104.6,3692.3,7100.6,6776.1,11954.7,1028,120.5,402.7,359.8,291.2
2024-01-01T15:45+01:00,104.3,3897.6,6876.8,7075.6,11847,1017,38.2,242.8,185.8,190
2024-01-01T16:00+01:00,103.7,4014.5,6769.6,6968.4,12192.3,1019,5.9,110.3,65,104
2024-01-01T16:15+01:00,99,4074.7,6912.6,7113.3,12177.7,1026,0,28.1,12.6,34.8
2024-01-01T16:30+01:00,122.2,4159.6,7083.8,6672.1,12300,1028,0,1.3,4.9,5.8
2024-01-01T16:45+01:00,124.2,4223.6,7239.6,6702.6,12633.6,1039,0,0,3.3,0
2024-01-01T17:00+01:00,133.9,4323.1,7440.9,6625.7,12929.5,1018,0,0,3.1,0
2024-01-01T17:15+01:00,137.1,4274.8,7521.4,6631.9,12891.2,1017,0,0,3,0
2024-01-01T17:30+01:00,144.5,4195.3,7559.7,6627.1,12946.2,1009,0,0,3.5,0
2024-01-01T17:45+01:00,129,4454.1,7630,6317.2,12766.2,983,0,0,3.2,0
2024-01-01T18:00+01:00,103.9,4570.6,7718.4,6518.6,12491,992,0,0,3,0
2024-01-01T18:15+01:00,94.9,4429.8,7805,6347.7,12102.1,987,0,0,2.4,0
2024-01-01T18:30+01:00,79.3,4243.6,7897.4,6351.1,11637.2,988,0,0,2.9,0
2024-01-01T18:45+01:00,57.2,4368.1,7941.1,6105.4,11519.2,997,0,0,2.4,0
2024-01-01T19:00+01:00,51.4,4477.1,7851.6,5604,11598.4,1024,0,0,2,0
2024-01-01T19:15+01:00,51.1,4486.9,7984.9,5629.6,11522,1036,0,0,1.8,0
2024-01-01T19:30+01:00,59.2,4518.8,8030.7,5608,11504.2,1043,0,0,1.8,0
2024-01-01T19:45+01:00,79.9,4629.9,7895.9,5341.4,11446.9,1035,0,0,1.8,0
2024-01-01T20:00+01:00,81,4592.4,7979.1,5676.7,11225.3,1019,0,0,2.5,0
2024-01-01T20:15+01:00,75.1,4527.7,7962.1,5746.2,10865.3,1011,0,0,1.8,0
2024-01-01T20:30+01:00,79.2,4505.7,8044.9,5212.4,10747.1,1040,0,0,1.8,0
2024-01-01T20:45+01:00,99.1,4594.5,8086.5,5098,10527.4,1026,0,0,1.7,0
2024-01-01T21:00+01:00,126,4571.1,8002.1,5138.9,10223.6,1004,0,0,2.5,0
2024-01-01T21:15+01:00,184.3,4555.5,7840.2,4831.8,10146.5,969,0,0,1.8,0
2024-01-01T21:30+01:00,216.3,4425.8,7630.5,4841.1,10099.3,928,0,0,2.4,0
2024-01-01T21:45+01:00,224.6,4313.2,7536.9,4759.6,9926.7,917,0,0,1.8,0
2024-01-01T22:00+01:00,252.2,4443.9,7287,4951.8,9660,909,0,0,2.1,0
2024-01-01T22:15+01:00,245.1,4523.4,7247.1,5107.4,9476.9,876,0,0,1.7,0
2024-01-01T22:30+01:00,233.1,4354.4,7175.4,5078.2,9189.4,864,0,0,1.8,0
2024-01-01T22:45+01:00,230.6,3956.3,6945.7,5103.5,9103.4,869,0,0,1.8,0
2024-01-01T23:00+01:00,232.2,3690.6,6786.5,5072.7,9052.4,878,0,0,2.6,0
2024-01-01T23:15+01:00,267.5,3473.8,6531.4,4902.9,8974.2,924,0,0,2.3,0
2024-01-01T23:30+01:00,276.2,3466.5,6433,4956.5,8951,964,0,0,1.9,0
2024-01-01T23:45+01:00,273.7,3209.9,6194.3,5006,8744.2,947,0,0,1.9,0
2024-01-02T00:00+01:00,240.6,3253.5,6025.8,5032,8519.9,914,0,0,2.6,0
2024-01-02T00:15+01:00,217.6,3364.4,5871,5135.9,8331.2,929,0,0,2.6,0
2024-01-02T00:30+01:00,228,3412.8,5731.5,5210.9,8135.3,959,0,0,1.9,0
2024-01-02T00:45+01:00,232.7,3527.4,5519.3,5454.2,7934.9,964,0,0,1.8,0
2024-01-02T01:00+01:00,254.3,3508.1,5301.1,5687.8,7812.6,976,0,0,1.8,0
2024-01-02T01:15+01:00,253.4,3516.8,5122.2,5687.6,7679,990,0,0,1.8,0
2024-01-02T01:30+01:00,284,3489.7,4885.9,5626,7553.3,995,0,0,1.8,0
2024-01-02T01:45+01:00,299.2,3449.8,4702.4,5555.1,7512.8,985,0,0,1.8,0
2024-01-02T02:00+01:00,302.1,3482.6,4676.1,5836.5,7387.6,988,0,0,2.5,0
2024-01-02T02:15+01:00,264.6,3394.1,4470.2,6197.2,7404.9,993,0,0,1.8,0
2024-01-02T02:30+01:00,254.9,3422.7,4355,6575.2,7429.1,994,0,0,1.8,0
2024-01-02T02:45+01:00,246.2,3415.4,4253.9,6897.9,7545.2,976,0,0,2.7,0
2024-01-02T03:00+01:00,245.3,3431,4215.7,7165.5,7720.6,1008,0,0,2.7,0
2024-01-02T03:15+01:00,227.5,3750.3,4264.7,7389.7,7926.3,1017,0,0,2.6,0
2024-01-02T03:30+01:00,238.1,3892.9,4221.9,7515.5,8136.5,1031,0,0,1.9,0
2024-01-02T03:45+01:00,230.4,4056.2,4218.3,7618.8,8336.1,1031,0,0,1.9,0
2024-01-02T04:00+01:00,205.2,4355.1,4294.7,7585.1,8591.7,1061,0,0,1.8,0
2024-01-02T04:15+01:00,160.8,4593.1,4438.7,7669,8885.6,1115,0,0,1.9,0
2024-01-02T04:30+01:00,146,4706.4,4568.8,7586.9,9137.5,1145,0,0,1.9,0
2024-01-02T04:45+01:00,143.7,4797.9,4744.5,7763.3,9332.6,1185,0,0,1.9,0
2024-01-02T05:00+01:00,154.7,4871.8,4845.5,7784.6,9733.1,1248,0,0,1.7,0
2024-01-02T05:15+01:00,133.8,4935.5,5053,8113.5,10069.4,1277,0,0,1.8,0
2024-01-02T05:30+01:00,118.9,4994.3,5276.6,8337.5,10572.2,1322,0,0,1.8,0
2024-01-02T05:45+01:00,117.4,5058.7,5497.1,8538.5,10731.1,1357,0,0,2.8,0
2024-01-02T06:00+01:00,90.3,5119.1,5805.1,8754.8,11293.1,1383,0,0,1.9,0
2024-01-02T06:15+01:00,58,5133.8,5965.6,8726.6,11577.6,1421,0,0,1.8,0
2024-01-02T06:30+01:00,46,5110.3,6225.9,8872.3,11779.8,1442,0,0,2.6,0
2024-01-02T06:45+01:00,62.4,5094.2,6358.9,8818.3,12057.1,1440,0,0,2.6,0
2024-01-02T07:00+01:00,71.7,5098.8,6506.6,8830.5,12308.1,1458,0,0,1.8,0
2024-01-02T07:15+01:00,61.9,5103.1,6675.5,8709.9,12504.2,1481,0,0,1.8,0
2024-01-02T07:30+01:00,75.4,5142.6,6788.2,8866.1,12749.2,1486,0,0,1.8,0
2024-01-02T07:45+01:00,65.4,5143.2,7087.4,8876.8,12776.2,1483,0,0,1.9,0
2024-01-02T08:00+01:00,44.9,5141.6,7263,9030.6,12898.3,1481,0.8,0.2,1.9,0
2024-01-02T08:15+01:00,39.7,5138.6,7415.5,8873.9,12946.8,1496,3.4,3,5.8,0.4
2024-01-02T08:30+01:00,44.8,5122.2,7581,8983.4,13009.1,1486,17.8,11.2,17.9,10.1
2024-01-02T08:45+01:00,44.4,5127,7708.5,8851.4,12892.5,1476,41.8,34.5,36.4,34.2
2024-01-02T09:00+01:00,50,5132.1,7704.3,8680.9,12687.6,1475,78.1,64,64.6,65.7
2024-01-02T09:15+01:00,63.5,5132.7,7661.4,8649.9,12602.4,1484,151.2,96,106,101.7
2024-01-02T09:30+01:00,61.7,5131.1,7636.7,8456.6,12624,1485,223.4,134,160,138.9
2024-01-02T09:45+01:00,61.7,5118.1,7660.9,8464.2,12871.9,1481,311.1,167.9,212,177.3
